path	classification	main_action	cleanup_gate	evidence
.codex/handoff.md	local_collaboration_archive	do_not_commit	remove_only_after_main_cutover_and_backup_recheck	4.2KB; local absolute paths; preserved in rollback freeze
hermes-local-lab/sources/docx-engine-v2/.qa/**	reproducible_qa_output	do_not_commit	remove_after_docx_regression_and_real_wps_word_gate	28 files; generated by tracked render-enterprise-fixtures.js; local paths; WPS/Word not_verified
hermes-local-lab/sources/hermes-agent/oa-architecture.html	exact_duplicate	do_not_commit	remove_after_backup_recheck	SHA256 02583f31b19fccdd56ba6a291c5c06daaea46db452007e7c469e539ef8af2b1c; identical to tracked docx fixture
hermes-local-lab/sources/hermes-webui/uv.lock	empty_generated_lock	do_not_commit	remove_after_backup_recheck	52 bytes; no packages; WebUI dependencies use requirements.txt
logs/**	runtime_garbage	do_not_commit	remove_after_runtime_unchanged_gate	old log/pid files; never use these pid values to control processes
tools/demo_materials/*.py	source_candidate_rejected	archive_with_demo_outputs	do_not_delete_until_archive_verified	no tests or dependency declaration; local font assumptions and absolute paths
tools/demo_materials/*.mjs	source_candidate_rejected	archive_with_demo_outputs	do_not_delete_until_archive_verified	undeclared unavailable @oai/artifact-tool dependency
tools/demo_materials/__pycache__/*.pyc	reproducible_cache	do_not_commit	remove_after_backup_recheck	ignored generated bytecode
演示资料包/**	user_deliverables	archive_outside_source_repo	do_not_delete_until_archive_hash_verified	22 deliverables; privacy metadata and embedded-font license review required
演示资料包/**/_gen_*.py	source_candidate_rejected	archive_with_deliverables	do_not_delete_until_archive_hash_verified	hard-coded local output; some perform runtime pip install
演示资料包/**/build_*.py	superseded_source_candidate	archive_with_deliverables	do_not_delete_until_archive_hash_verified	intermediate or superseded generators; no current output contract
演示资料包/**/.DS_Store	reproducible_os_garbage	do_not_commit	remove_after_backup_recheck	Finder metadata
ROLLBACK_FREEZE/root-untracked	all_untracked_backup	preserve_backup	keep_at_least_seven_days	66 of 66 tracked-untracked files match rollback freeze SHA256; zero mismatch
