observed_at	timezone	record_type	task_group	item	status	source_commit	source_subject	integration_commit	value	pid	cwd	port	health	evidence	notes
2026-07-18T13:51:33+08:00	Asia/Shanghai	meta	-	integration_branch	verified_current	-	-	-	codex/main-consolidation-20260717	-	/Users/bwb/Documents/工作/taiji-agentv1.0/.worktrees/main-consolidation-20260717	-	-	git branch --show-current	指定隔离 worktree
2026-07-18T13:51:33+08:00	Asia/Shanghai	meta	-	head_before_ledger	verified_current	-	-	-	69db68e9992bcdb8bc5c2d91957d70557a1aea4c	-	/Users/bwb/Documents/工作/taiji-agentv1.0/.worktrees/main-consolidation-20260717	-	-	git rev-parse HEAD	本台账提交前的整合线 HEAD
2026-07-18T13:51:33+08:00	Asia/Shanghai	meta	-	dirty_before_ledger	verified_current	-	-	-	false	-	/Users/bwb/Documents/工作/taiji-agentv1.0/.worktrees/main-consolidation-20260717	-	-	git status --short	命令无输出
2026-07-18T13:51:33+08:00	Asia/Shanghai	meta	-	integration_base	verified_current	-	-	-	23770bc9c433725beb81bdf64f25ff6cadafc5e7	-	-	-	-	git rev-parse --verify 23770bc9c433725beb81bdf64f25ff6cadafc5e7^{commit}	计划锁定整合起点
2026-07-18T13:51:33+08:00	Asia/Shanghai	meta	-	local_main	verified_current	-	-	-	8e8942960db8102494f022a55a304cc12e53b4e5	-	/Users/bwb/Documents/工作/taiji-agentv1.0	-	-	git rev-parse refs/heads/main	正式 main 未更新
2026-07-18T13:51:33+08:00	Asia/Shanghai	meta	-	origin_main	verified_current	-	-	-	8e8942960db8102494f022a55a304cc12e53b4e5	-	-	-	-	git rev-parse refs/remotes/origin/main	未执行 fetch 或 push
2026-07-18T13:51:33+08:00	Asia/Shanghai	freeze	-	backup_path	verified_current	-	-	-	/Users/bwb/Documents/工作/taiji-agentv1.0-backups/20260717-163359-rollback-freeze-d4e06daba724	-	-	-	-	ls -ld backup_path	路径实时存在
2026-07-18T13:51:33+08:00	Asia/Shanghai	freeze	-	SHA256SUMS_self_sha256	verified_current	-	-	-	be7f0bb32cf709a6e75741c6672707b59049e5d20f67b79fe1a3c5d23ad65c49	-	-	-	-	shasum -a 256 backup_path/SHA256SUMS	仅实时核验清单自身哈希；未在 Task 1 重跑全量 5790 项
2026-07-18T13:51:33+08:00	Asia/Shanghai	import_provenance	-	api.routes	verified_current	-	-	-	/Users/bwb/Documents/工作/taiji-agentv1.0/.worktrees/main-consolidation-20260717/hermes-local-lab/sources/hermes-webui/api/routes.py	-	-	-	ok	PYTHONPATH=WT/webui:WT/agent ROOT/agent/venv/bin/python -c import_guard	断言文件父目录包含指定 worktree
2026-07-18T13:51:33+08:00	Asia/Shanghai	import_provenance	-	hermes_state	verified_current	-	-	-	/Users/bwb/Documents/工作/taiji-agentv1.0/.worktrees/main-consolidation-20260717/hermes-local-lab/sources/hermes-agent/hermes_state.py	-	-	-	ok	PYTHONPATH=WT/webui:WT/agent ROOT/agent/venv/bin/python -c import_guard	只借根目录 venv 第三方依赖
2026-07-18T13:51:33+08:00	Asia/Shanghai	runtime	-	Electron	not_running	-	-	-	not_running	not_running	not_running	not_applicable	not_running	pgrep and ps filtered for Taiji/Electron	未发现 Electron 进程；未启动或停止任何进程
2026-07-18T13:51:33+08:00	Asia/Shanghai	runtime	-	Gateway_expected_18642	not_running	-	-	-	not_listening	not_running	not_running	18642	not_listening	lsof -nP -iTCP:18642 -sTCP:LISTEN; host curl /health	lsof 无输出且宿主 curl 退出 7
2026-07-18T13:51:33+08:00	Asia/Shanghai	runtime	-	Gateway_live_candidate	unknown	-	-	-	only_matching_gateway	18302	/Users/bwb/Documents/工作/taiji-agentv1.0/.worktrees/image-capability-center/hermes-local-lab/sources/hermes-agent	18643	ok	pgrep; lsof PID cwd/TCP; host curl /health	PPID=1；来源与计划日常根目录及 18642 不符，不能猜为日常 Gateway
2026-07-18T13:51:33+08:00	Asia/Shanghai	runtime	-	WebUI_expected_18787	not_running	-	-	-	not_listening	not_running	not_running	18787	not_listening	lsof -nP -iTCP:18787 -sTCP:LISTEN; host curl /health	lsof 无输出且宿主 curl 退出 7
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_A	managed_runs_session_safe	integrated_blocked_internal	540f410baaebeccbe0c2807646b2cd3666336619	fix: make managed runs session-safe	70fcc6fccbc7f88f5996876371d6e534e7930e98	-	-	-	-	-	git show and merge-base --is-ancestor	当前整合线存在映射；Task A 因开放 P1 需修复后复审
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_A	managed_runs_cross_process	integrated_blocked_internal	8da8caa194b7076e0308ad24d9756571845a4be8	fix: serialize managed runs across processes	19c9c8d61fa0605c85ad4d864978169f521957de	-	-	-	-	-	git show and merge-base --is-ancestor	当前整合线存在映射；Task A 因开放 P1 需修复后复审
2026-07-18T13:51:33+08:00	Asia/Shanghai	source_mapping	Task_A	production_license_profile	integrated_blocked_internal	18f2427caf0326d65d421db8a6a33d4c43579a6a	fix: make production licensing build-profile controlled	c4a4797c928f4642517b16ecf362968ea3d61b6d	-	-	-	-	-	git show and merge-base --is-ancestor	当前整合线存在映射；Task A 因开放 P1 需修复后复审
